Name,PPG,APG,RBG,FG%,3PT%,FT%
Patty Mills,8.6,1.8,1.6,40.6,39.5,80.5
Paul George,22.5,5.4,6.8,40.6,31.6,82.6
Paul Millsap,2.2,0.6,2.5,37.8,20.2,66.7
Paul Reed,5.3,0.7,3.5,56.5,20.9,71.7
Payton Pritchard,7.3,2.5,2.1,43.4,42.8,96.0
Precious Achiuwa,9.6,1.3,6.4,46.6,35.9,67.9
Quentin Grimes,7.8,1.4,2.4,41.0,36.7,71.3
R.J. Hampton,9.6,3.2,3.4,39.3,30.9,69.5
RJ Barrett,20.7,3.0,5.4,41.4,33.0,74.4
Rajon Rondo,4.1,3.8,2.7,38.8,34.1,69.0
Raul Neto,7.0,3.1,1.9,45.9,27.9,76.6
Reggie Bullock,8.1,1.2,3.5,39.3,34.3,80.8
Reggie Jackson,14.9,4.3,3.3,41.5,38.1,82.4
Richaun Holmes,8.9,1.1,6.0,63.2,36.3,78.1
Ricky Rubio,10.7,5.8,3.7,38.4,39.6,83.0
Robert Covington,7.7,1.2,4.8,40.5,33.7,80.9
Robert Williams,10.8,2.3,9.7,72.1,0.0,73.7
Robin Lopez,5.7,1.5,3.0,53.6,32.0,66.6
Rodney Hood,3.5,0.9,1.7,40.3,37.2,87.9
Rodney McGruder,5.1,1.0,2.0,44.0,39.5,73.0
Romeo Langford,6.1,0.6,2.9,46.2,34.1,62.5
Royce O'Neale,7.5,2.4,4.5,43.7,35.3,80.8
Rudy Gay,5.1,0.8,3.2,41.6,33.4,74.1
Rudy Gobert,13.9,1.0,12.8,69.4,0.0,69.7
Rui Hachimura,11.4,1.2,3.7,47.6,39.2,72.1
Russell Westbrook,17.5,6.7,7.3,43.1,28.6,74.9
Saben Lee,7.5,4.4,3.0,41.5,29.0,78.5
Saddiq Bey,16.4,3.0,5.6,40.2,33.8,80.1
Sam Hauser,3.9,0.6,1.6,51.8,23.2,0.0
Sandro Mamukelashvili,6.5,0.9,2.9,50.3,41.3,79.2
Santi Aldama,5.3,1.0,3.3,44.7,7.0,70.5
Scottie Barnes,17.9,4.4,8.0,48.7,27.7,73.2
Semi Ojeleye,4.6,0.4,3.3,31.5,32.7,77.5
Serge Ibaka,5.5,0.8,3.6,47.6,34.2,76.4
Seth Curry,13.3,3.2,2.9,47.0,37.7,83.9
Shai Gilgeous-Alexander,23.8,6.1,5.0,49.6,36.6,77.5
Shake Milton,8.0,2.6,2.6,44.0,34.8,82.2
Skylar Mays,4.5,0.9,1.3,50.6,33.2,85.4
Spencer Dinwiddie,12.1,4.9,4.0,41.6,34.3,80.0
Stanley Johnson,7.1,1.9,3.4,47.7,32.0,73.9
Stephen Curry,25.2,7.0,5.3,43.2,37.3,88.9
Sterling Brown,4.4,1.0,4.0,39.4,32.5,90.3
Steven Adams,5.9,3.4,8.6,54.4,0.0,52.6
Svi Mykhailiuk,5.4,1.0,1.8,39.3,31.8,83.1
T.J. McConnell,7.9,5.0,3.4,47.7,29.0,82.2
Taj Gibson,2.8,0.4,3.1,49.8,41.4,78.6
Talen Horton-Tucker,10.6,3.2,3.4,45.1,32.7,79.9
Taurean Prince,7.6,1.1,2.6,44.5,34.6,77.1
Terance Mann,11.0,2.7,5.0,45.5,31.8,79.2
Terence Davis,10.4,1.3,3.0,42.8,34.2,78.5
Terrence Ross,9.4,1.7,2.6,38.9,27.8,83.6
Terry Rozier,18.6,4.3,4.4,44.1,36.6,82.6
Terry Taylor,10.1,1.4,5.1,63.0,35.9,69.7
Thaddeus Young,5.0,2.0,3.5,49.2,41.4,57.9
Thanasis Antetokounmpo,4.1,0.6,2.3,53.2,0.4,63.6
Thomas Bryant,7.2,1.0,3.9,52.6,29.7,84.0
Théo Maledon,9.0,2.8,3.0,40.2,32.1,76.6
Tim Hardaway Jr.,12.3,2.1,3.2,37.9,32.0,75.9
Timothé Luwawu-Cabarrot,5.9,1.1,2.1,41.2,38.5,82.7
Tobias Harris,14.9,3.3,5.9,46.4,33.2,79.6
Tomáš Satoranský,4.3,4.1,2.7,40.5,34.7,74.7
Tony Bradley,4.6,0.8,4.8,57.3,0.0,66.8
Tony Snell,4.2,0.6,2.2,39.6,33.5,96.9
Torrey Craig,6.0,1.1,3.5,45.6,31.7,75.0
Trae Young,27.6,10.0,3.7,45.0,36.1,89.1
Tre Jones,8.1,5.1,2.8,50.3,22.3,77.0
Tre Mann,13.1,1.9,3.3,40.5,37.2,76.9
Trendon Watford,8.1,2.0,4.4,57.7,28.8,75.4
Trent Forrest,5.6,2.9,2.6,48.4,20.6,77.1
Trevor Ariza,2.5,0.7,2.4,29.6,25.3,75.8
Trey Burke,5.8,1.7,0.9,42.7,35.7,85.4
Trey Lyles,9.5,1.2,4.8,48.2,34.3,77.6
Trey Murphy III,7.0,0.8,2.9,39.2,38.0,85.3
